school_type_enc,subject_category_enc,total_students,teacher_count,past_avg_score,past_pass_rate,submission_rate,marks_deadline_set,days_to_exam,years_of_history,predicted_avg_score
1,2,290,16,62.65,0.5715,0.7282,1,247,8,54.01
3,2,338,14,33.55,0.3226,0.7738,0,240,8,39.17
3,1,291,15,60.22,0.5532,0.4572,0,149,3,50.83
1,1,102,6,64.1,0.6102,0.7079,1,115,2,63.5
4,2,35,2,74.15,0.7008,0.4935,0,209,9,75.62
4,3,304,13,53.82,0.5228,0.8344,1,217,3,56.54
2,2,298,24,72.8,0.7265,0.542,1,229,6,78.98
1,2,219,13,55.12,0.5208,0.916,1,139,7,66.84
1,2,204,13,64.1,0.6701,0.8771,1,136,1,68.56
2,1,89,4,49.62,0.5086,0.5839,1,320,1,46.27
1,1,38,2,49.51,0.5047,0.6983,1,111,9,53.79
2,1,179,7,60.81,0.6029,0.593,0,348,9,47.55
3,1,240,10,52.16,0.4999,0.9458,1,245,1,54.06
3,3,300,13,50.89,0.4667,0.9154,1,54,7,58.49
3,2,337,16,70.95,0.6081,0.5909,1,118,5,63.15
3,3,166,8,74.14,0.7637,0.8791,1,363,8,75.34
4,3,33,2,64.84,0.6167,0.6652,0,198,3,61.46
4,3,306,18,72.98,0.6424,0.3658,0,284,7,68.18
2,1,326,13,58.94,0.5889,0.9163,1,161,8,58.55
1,3,298,21,0.0,0.0,0.7767,1,74,0,58.33
1,1,318,20,28.27,0.2439,0.7389,1,43,7,31.77
4,2,52,3,82.23,0.8941,0.4365,0,295,9,74.83
2,3,219,12,42.99,0.4115,0.5301,1,60,7,44.39
2,3,105,6,68.55,0.5955,0.5478,0,314,8,60.21
3,3,169,7,70.69,0.6477,0.7949,1,111,7,69.84
4,1,161,7,53.01,0.4585,0.7975,1,301,1,57.41
4,3,180,8,62.49,0.5437,0.5376,0,175,4,58.57
3,1,319,16,0.0,0.0,0.8361,1,147,0,84.64
1,1,167,11,30.92,0.2966,0.9845,1,250,9,35.73
1,1,193,11,50.07,0.5275,0.7274,1,171,7,60.2
3,2,288,12,0.0,0.0,0.7713,1,221,0,79.09
1,1,280,13,0.0,0.0,0.6021,0,157,0,24.48
4,3,347,17,70.38,0.7231,0.5068,1,218,3,74.53
1,2,85,4,60.67,0.5929,0.9174,1,251,2,67.37
2,2,331,17,45.49,0.4849,0.895,1,222,2,46.11
3,1,169,7,66.06,0.7044,0.7422,1,180,9,65.09
4,2,147,7,79.13,0.8419,0.6591,1,252,3,77.2
4,3,102,5,0.0,0.0,0.8309,0,179,0,64.26
4,1,294,12,0.0,0.0,0.705,1,345,0,53.63
3,2,344,16,68.28,0.6955,0.9771,1,330,10,72.3
4,3,348,16,75.06,0.8252,0.717,1,60,4,73.7
1,2,110,5,0.0,0.0,0.7379,0,160,0,28.45
2,3,235,12,66.89,0.7142,0.6204,1,308,2,65.48
2,1,155,7,44.79,0.4817,0.579,1,236,7,50.14
3,3,242,11,60.48,0.5722,0.6186,1,302,7,54.61
3,3,36,2,70.73,0.6712,0.7758,0,35,10,71.71
3,1,335,14,48.05,0.4898,0.8296,1,80,3,46.59
1,3,250,20,42.95,0.4437,0.4623,0,222,5,42.7
3,3,281,11,70.58,0.685,0.8733,1,183,2,78.2
1,2,140,6,55.15,0.6039,0.9023,1,197,10,60.46
3,3,88,4,71.5,0.6758,0.6857,1,355,10,67.08
2,2,312,19,77.32,0.7,0.7531,0,164,9,75.78
1,1,180,7,49.22,0.4351,0.8352,1,286,1,49.8
4,3,237,11,68.9,0.6917,0.6399,1,363,7,65.13
2,2,75,3,50.29,0.4725,0.5949,1,72,5,48.78
4,1,330,13,0.0,0.0,0.6218,1,74,0,50.98
2,1,325,21,51.29,0.4781,0.7953,0,11,3,52.93
2,3,153,6,84.6,0.7223,0.619,1,175,1,80.01
1,1,240,12,47.05,0.4559,0.7566,1,65,1,43.41
1,3,291,18,56.0,0.543,0.843,1,261,10,58.75
4,1,100,7,67.51,0.6792,0.8561,1,205,4,78.21
4,3,334,18,76.07,0.7928,0.6075,1,241,1,67.93
2,2,237,11,55.07,0.5268,0.6872,1,88,5,49.49
1,1,72,4,36.12,0.36,0.6648,1,72,5,29.82
4,2,241,10,0.0,0.0,0.8002,1,190,0,75.87
1,3,271,18,45.61,0.4276,0.5574,1,152,1,38.62
1,3,161,13,41.94,0.3922,0.7784,0,299,4,43.52
4,1,40,3,76.92,0.6952,0.6704,1,199,8,75.51
1,1,104,7,55.82,0.5363,0.8035,1,222,9,59.17
3,1,245,18,57.67,0.588,0.8336,1,33,10,65.39
1,1,129,8,76.56,0.7061,0.5736,0,230,3,67.13
2,1,281,14,45.4,0.4774,0.774,0,31,10,37.92
1,2,319,18,53.37,0.469,0.4786,0,326,6,44.71
4,3,79,5,73.67,0.7,0.7788,0,183,9,76.35
1,3,349,25,73.46,0.6889,0.8227,1,85,8,82.33
2,1,333,23,57.49,0.4995,0.814,1,247,10,60.76
4,3,314,15,53.94,0.5011,0.7345,1,333,9,64.54
3,2,62,3,55.9,0.4804,0.6435,1,340,7,59.45
4,2,322,16,0.0,0.0,0.9049,1,343,0,64.45
2,1,255,19,65.2,0.6595,0.6892,0,234,5,65.2
2,2,234,10,53.46,0.5343,0.8237,1,43,10,50.02
4,2,154,7,84.7,0.7517,0.665,0,189,10,76.85
3,3,329,15,59.61,0.5528,0.8958,1,75,1,60.62
1,3,241,12,0.0,0.0,0.5901,1,119,0,27.66
2,1,95,6,66.01,0.6883,0.9418,1,29,4,69.42
3,3,108,7,76.12,0.801,0.5407,0,220,9,67.5
4,3,170,7,81.02,0.8842,0.952,1,109,7,86.05
3,3,261,11,85.21,0.8314,0.581,1,112,6,83.29
3,1,271,11,62.87,0.6155,0.3461,0,92,8,46.28
3,2,248,18,67.35,0.7099,0.9652,1,222,3,79.78
2,2,66,3,0.0,0.0,0.5495,1,342,0,54.28
1,2,266,12,55.53,0.5574,0.5095,1,120,2,45.85
2,3,241,17,67.72,0.6159,0.4311,0,337,4,65.36
1,2,330,17,34.81,0.3084,0.8074,1,133,10,37.57
4,1,209,16,61.62,0.6076,0.7538,1,20,8,62.87
4,2,154,7,76.26,0.7879,0.8858,1,180,5,74.73
2,1,114,5,49.41,0.4773,0.8159,1,79,10,53.57
4,1,175,11,73.09,0.6779,0.9077,1,252,3,74.85
3,1,207,8,0.0,0.0,0.666,1,73,0,54.24
3,2,222,13,70.37,0.6854,0.9622,1,275,2,78.3
4,1,245,12,63.75,0.5546,0.6532,1,318,2,62.92
4,1,46,2,58.2,0.5842,0.8197,1,39,5,64.61
3,3,106,4,76.81,0.737,0.4298,0,340,2,61.06
3,2,334,23,61.29,0.6663,0.8815,1,303,7,67.18
3,3,167,10,76.28,0.7471,0.5589,1,143,1,72.87
4,1,276,18,70.81,0.7529,0.9493,1,237,2,83.65
3,3,202,9,56.57,0.6012,0.9637,1,336,8,62.92
2,2,127,5,50.98,0.5341,0.6047,0,198,3,35.35
2,3,69,5,71.54,0.7021,0.9117,1,47,6,74.2
2,2,289,17,45.17,0.4561,0.8314,0,231,8,41.63
1,3,103,6,48.14,0.4509,0.9475,1,50,2,59.51
3,1,89,4,48.23,0.4743,0.5843,1,307,9,49.42
3,3,46,2,0.0,0.0,0.8217,0,305,0,76.1
4,3,40,2,70.06,0.6484,0.744,0,217,10,70.23
3,2,250,14,68.43,0.6165,0.6563,1,173,7,66.46
4,1,214,11,48.41,0.4439,0.3532,0,158,1,43.83
4,3,106,4,62.23,0.6412,0.3876,0,273,9,41.95
4,1,71,2,64.49,0.6422,0.4547,0,315,8,56.33
4,2,245,17,54.2,0.5593,0.683,1,215,4,61.14
3,3,172,13,64.4,0.6802,0.8055,1,75,8,73.21
1,2,310,12,38.31,0.3447,0.75,1,33,2,36.81
4,3,258,18,82.15,0.7637,0.8083,1,163,8,89.22
3,3,313,19,0.0,0.0,0.8369,1,223,0,71.55
3,3,330,18,70.14,0.7335,0.7888,1,36,10,71.61
4,1,149,12,64.75,0.6182,0.6019,1,266,1,69.18
4,3,290,19,62.66,0.689,0.6884,1,98,5,62.94
3,3,160,8,73.5,0.6796,0.9911,1,157,3,75.84
2,3,203,10,51.47,0.4745,0.7716,1,212,4,57.41
2,2,46,2,31.22,0.2854,0.601,1,285,1,31.95
3,3,340,15,62.92,0.573,0.7655,1,336,3,63.92
3,3,266,19,77.16,0.835,0.9675,1,253,2,82.18
4,3,189,12,0.0,0.0,0.5447,1,303,0,84.5
2,3,44,2,46.95,0.4481,0.967,1,28,2,58.01
4,1,173,7,0.0,0.0,0.8014,1,181,0,62.26
4,1,283,15,87.76,0.9063,0.8593,1,17,3,86.11
3,2,114,5,48.65,0.5226,0.7576,1,54,10,47.88
2,2,190,7,0.0,0.0,0.6178,1,146,0,56.73
1,2,209,9,0.0,0.0,0.7327,1,91,0,42.43
3,3,85,4,70.18,0.7645,0.7275,1,320,4,72.42
3,2,300,13,48.94,0.5092,0.7979,1,51,3,49.09
3,1,313,23,61.11,0.6014,0.77,0,236,8,61.09
1,3,71,2,62.31,0.6556,0.7566,1,243,7,52.33
3,3,36,2,0.0,0.0,0.7892,1,33,0,59.15
1,1,266,21,53.88,0.5444,0.9819,1,201,6,64.15
4,2,217,16,72.75,0.7775,0.7732,0,70,10,80.52
2,3,139,6,0.0,0.0,0.7315,1,288,0,64.5
2,1,260,15,59.15,0.6159,0.6631,0,324,4,62.18
1,1,42,2,48.58,0.4983,0.7073,0,215,10,40.94
1,1,282,11,53.29,0.4955,0.8363,1,174,3,46.75
2,2,291,19,65.72,0.6038,0.7958,1,99,4,70.81
4,1,201,8,55.12,0.5644,0.6499,1,104,10,56.4
4,1,98,4,0.0,0.0,0.9839,1,295,0,69.66
2,2,65,2,59.66,0.5209,0.5952,1,147,5,48.74
1,1,121,5,54.24,0.526,0.6665,1,17,9,46.68
2,1,270,11,55.07,0.565,0.6197,1,174,9,51.94
3,2,158,9,48.08,0.4955,0.6601,1,114,7,52.55
3,2,138,6,0.0,0.0,0.9674,1,306,0,61.64
4,2,219,11,77.37,0.7542,0.8424,1,141,3,77.93
4,2,111,5,65.57,0.6374,0.7711,1,338,5,68.63
1,3,49,2,74.49,0.6588,0.534,1,87,6,71.86
3,1,341,16,66.83,0.5707,0.7057,1,18,9,59.37
3,3,245,10,68.42,0.5998,0.3819,0,108,2,56.19
3,2,228,17,57.01,0.584,0.914,1,51,6,65.95
1,1,268,21,0.0,0.0,0.5413,1,232,0,38.42
3,3,295,12,87.53,0.7903,0.9438,1,253,3,89.98
3,3,313,15,89.83,0.9795,0.8761,1,213,2,89.07
1,2,224,10,57.35,0.535,0.57,1,362,8,51.12
3,1,75,4,45.62,0.4966,0.8868,1,25,1,55.45
3,2,217,12,57.41,0.5721,0.8861,1,161,10,62.48
1,2,103,6,36.52,0.3433,0.8186,0,237,10,39.37
3,2,245,13,69.16,0.6764,0.3493,0,293,8,63.67
3,2,31,2,72.72,0.7199,0.6214,1,276,6,66.33
2,3,179,11,56.02,0.485,0.7106,1,257,2,56.95
2,3,345,18,49.9,0.4622,0.6661,1,327,9,50.0
4,2,329,23,64.84,0.6489,0.7395,1,100,5,75.61
3,3,349,18,63.0,0.5797,0.6825,1,298,9,58.66
2,3,306,24,63.99,0.6948,0.7387,0,364,7,72.99
4,3,280,20,78.25,0.805,0.537,1,316,4,82.39
4,3,239,12,68.52,0.7026,0.7969,1,53,5,69.67
3,1,338,26,61.8,0.6416,0.7152,1,15,10,62.3
1,2,310,15,61.29,0.5549,0.7315,1,357,9,53.77
3,1,272,20,56.63,0.5991,0.6742,1,185,6,57.16
4,1,74,4,57.78,0.5372,0.9051,1,68,7,64.72
1,3,109,4,47.1,0.4393,0.731,1,217,3,47.23
2,1,39,2,40.41,0.3889,0.5022,1,119,3,39.03
1,3,77,3,71.07,0.6853,0.9313,1,280,8,75.32
3,3,83,5,63.8,0.6408,0.853,1,162,7,70.05
2,2,85,5,52.87,0.5169,0.5689,1,206,1,54.17
4,1,113,5,56.61,0.5221,0.7631,0,327,7,57.63
1,2,94,6,59.15,0.5759,0.7078,1,237,6,56.98
4,1,137,8,67.19,0.6089,0.8904,1,299,4,70.9
1,3,83,5,35.74,0.3773,0.6954,0,289,8,30.93
2,2,151,9,0.0,0.0,0.6743,1,54,0,74.04
4,1,326,15,62.22,0.6273,0.3766,0,115,9,56.67
3,3,168,8,49.51,0.4567,0.929,1,357,2,59.45
1,1,55,2,61.41,0.5414,0.6248,1,174,10,60.63
4,2,97,4,55.89,0.4857,0.8844,1,216,4,56.46
3,3,274,16,0.0,0.0,0.9236,1,57,0,77.57
4,3,57,2,64.48,0.5832,0.6059,1,147,6,59.91
2,3,273,12,65.15,0.6558,0.5081,1,90,10,58.14
4,2,128,5,88.18,0.9441,0.9372,1,150,2,93.03
1,2,109,8,53.0,0.4815,0.8518,1,10,10,64.06
2,2,290,13,0.0,0.0,0.489,0,71,0,61.87
4,3,221,16,75.28,0.6593,0.6496,1,205,1,76.95
2,3,98,7,49.35,0.4738,0.814,1,87,9,50.7
4,3,69,2,57.32,0.5951,0.692,1,229,2,56.5
3,3,68,4,65.7,0.6864,0.9239,1,347,9,70.44
3,1,225,14,0.0,0.0,0.8969,1,132,0,54.31
4,2,329,25,0.0,0.0,0.967,1,77,0,87.16
4,3,113,5,67.04,0.5727,0.4442,0,30,1,64.28
4,3,171,8,64.36,0.6118,0.7688,1,88,8,60.19
3,1,129,5,61.87,0.6089,0.8171,1,342,2,58.73
4,3,147,11,71.79,0.7201,0.6663,0,346,1,70.81
2,1,30,2,56.42,0.5533,0.8604,1,95,5,56.86
3,3,85,3,0.0,0.0,0.7147,1,278,0,79.44
1,2,258,13,0.0,0.0,0.7834,1,198,0,60.79
1,1,285,23,0.0,0.0,0.5595,0,206,0,61.86
1,3,239,16,41.84,0.384,0.505,0,267,3,44.07
1,1,48,2,53.12,0.568,0.8868,1,169,1,49.9
1,2,127,8,61.88,0.5829,0.9989,1,110,4,66.22
2,1,144,7,61.06,0.6472,0.9755,1,10,10,64.68
3,1,130,6,40.69,0.4448,0.4539,0,32,3,41.57
2,3,259,10,46.08,0.4586,0.8186,1,211,1,47.41
4,3,91,6,82.99,0.7869,0.6631,1,241,4,74.31
3,1,324,24,66.56,0.5932,0.7033,1,284,1,64.98
4,2,262,16,87.25,0.808,0.8017,1,120,1,89.86
3,1,207,12,0.0,0.0,0.6301,1,99,0,65.44
1,2,306,20,53.36,0.4672,0.5607,1,41,7,58.59
2,1,230,13,29.03,0.2893,0.5375,1,43,10,23.96
2,3,194,14,54.19,0.4675,0.7166,1,212,7,53.1
4,1,206,13,64.32,0.5706,0.8085,1,341,2,71.85
3,2,56,4,59.28,0.5242,0.7866,0,279,6,60.48
1,2,208,11,81.0,0.7536,0.513,1,315,7,82.29
2,1,54,2,58.93,0.5789,0.9998,1,91,7,68.36
3,3,53,2,61.57,0.5831,0.9958,1,98,3,65.66
2,1,208,8,0.0,0.0,0.6758,1,300,0,29.98
2,3,277,14,72.29,0.7031,0.4279,0,122,2,69.7
3,3,128,5,65.89,0.6991,0.511,1,310,5,53.05
2,1,62,3,53.7,0.5096,0.466,0,79,10,55.38
4,3,274,13,68.53,0.7349,0.6784,1,350,2,63.4
2,2,90,6,0.0,0.0,0.9743,1,210,0,62.98
1,1,338,22,18.77,0.1644,0.6656,1,49,9,22.81
2,3,70,3,78.51,0.755,0.6248,1,44,10,71.99
3,2,49,2,60.32,0.6589,0.7465,1,203,6,60.45
4,3,140,9,78.02,0.667,0.5524,1,185,1,75.23
2,2,72,4,59.69,0.6406,0.7157,1,344,9,63.07
2,1,76,4,63.0,0.6813,0.8303,1,162,3,69.84
2,1,276,19,64.9,0.5523,0.7531,0,330,5,63.74
1,1,112,5,38.31,0.4008,0.9474,1,145,1,42.84
1,3,220,13,44.48,0.3831,0.6317,1,147,7,42.03
1,1,201,8,49.13,0.4856,0.9092,1,224,6,47.1
4,3,65,3,0.0,0.0,0.9502,1,302,0,78.97
2,1,110,4,59.24,0.5222,0.9941,1,232,3,64.92
2,3,157,9,80.49,0.7952,0.7598,1,16,1,81.0
4,1,326,16,62.95,0.6806,0.5505,1,156,1,63.03
4,2,221,10,57.96,0.5326,0.6348,0,365,9,53.58
4,1,146,11,59.52,0.6429,0.5101,1,165,7,53.23
1,1,93,5,64.93,0.6702,0.5446,1,236,7,58.19
2,2,216,9,46.65,0.4888,0.6903,0,216,8,51.11
1,1,123,5,62.84,0.6059,0.8523,1,150,3,60.34
3,2,88,4,52.84,0.4984,0.5888,1,252,3,46.43
2,2,71,4,60.71,0.6344,0.4217,0,125,6,51.45
2,2,29,2,44.43,0.4496,0.5042,1,139,2,38.03
3,2,217,9,52.28,0.5328,0.6986,1,62,7,53.67
1,3,216,11,80.1,0.8028,0.5541,1,42,9,74.51
3,2,158,7,69.93,0.7282,0.9027,1,317,10,74.65
4,3,38,2,72.81,0.6661,0.6941,1,28,4,60.65
2,2,138,6,42.87,0.4364,0.9227,1,346,10,37.09
2,2,157,7,61.61,0.6412,0.6738,0,181,8,55.76
2,3,182,10,47.79,0.4616,0.3295,0,334,5,44.29
1,2,220,11,56.0,0.4836,0.5687,1,112,6,48.31
4,1,186,8,83.8,0.8445,0.649,0,12,2,74.05
4,2,320,14,81.47,0.8524,0.5647,1,232,7,70.83
4,2,27,2,63.07,0.6768,0.7655,1,19,3,58.56
1,3,201,12,47.64,0.4506,0.5835,1,33,1,46.06
3,2,93,5,69.6,0.7566,0.7017,1,126,7,71.82
2,3,36,2,64.26,0.566,0.8961,1,202,2,70.17
1,3,49,2,47.0,0.4131,0.5618,1,139,10,40.53
4,3,347,28,84.67,0.8597,0.635,1,320,6,83.25
1,3,341,25,42.55,0.4265,0.9157,1,113,1,44.71
3,3,305,16,64.4,0.6582,0.6173,1,16,3,57.14
4,1,71,3,50.79,0.4642,0.8438,0,161,1,48.61
3,2,45,2,82.47,0.8662,0.8693,1,58,5,86.84
1,1,112,6,30.53,0.3155,0.6714,1,68,7,26.79
4,2,222,10,74.64,0.7837,0.8985,1,67,7,80.84
2,1,238,9,64.86,0.5807,0.6793,1,24,7,55.0
2,2,235,13,58.95,0.5396,0.8523,1,357,1,56.88
2,3,198,10,61.62,0.5621,0.8381,1,207,9,63.73
2,3,30,2,63.98,0.6247,0.7479,1,94,2,71.88
2,2,167,13,56.43,0.5949,0.5443,0,303,3,56.23
4,1,85,3,65.6,0.5605,0.5179,1,291,10,62.4
3,3,312,21,62.61,0.6614,0.9222,1,179,10,71.55
4,3,83,6,59.09,0.535,0.9149,1,159,10,65.5
1,1,109,5,47.29,0.4241,0.6964,1,244,6,46.33
2,3,48,2,56.68,0.5653,0.7253,1,347,10,48.46
4,1,296,13,69.24,0.6721,0.9606,1,100,8,65.83
2,3,332,16,57.64,0.5626,0.9898,1,364,5,63.62
3,2,256,11,51.68,0.536,0.8507,1,170,2,58.5
2,1,201,8,62.47,0.6842,0.9792,1,267,2,57.45
1,2,312,17,53.31,0.543,0.767,1,226,9,49.19
1,3,52,2,63.33,0.5806,0.9918,1,359,3,65.31
3,1,302,24,84.11,0.8705,0.8712,1,297,7,91.77
4,1,172,8,0.0,0.0,0.6938,1,360,0,50.37
3,3,128,6,82.81,0.8757,0.8523,1,341,7,80.26
2,3,124,7,69.4,0.7569,0.5597,1,30,2,65.07
4,2,324,14,0.0,0.0,0.8548,1,89,0,66.72
1,1,345,17,55.2,0.5107,0.7751,1,47,10,57.22
2,1,291,22,46.17,0.439,0.9417,1,349,8,56.27
3,2,341,18,63.91,0.6749,0.5044,1,352,8,56.99
2,1,189,11,52.16,0.4803,0.9111,1,201,1,61.69
4,2,123,7,87.72,0.9536,0.826,0,285,1,82.86
2,3,347,15,53.13,0.523,0.9881,1,232,10,58.7
1,3,194,15,50.06,0.4323,0.779,1,304,1,58.76
4,2,255,12,53.73,0.4726,0.6962,0,42,6,54.42
1,3,282,21,54.05,0.5001,0.7209,0,234,10,52.72
1,2,105,5,63.43,0.6738,0.817,1,162,2,58.27
3,1,88,7,47.81,0.4777,0.9735,1,166,9,59.12
3,1,236,9,75.38,0.757,0.5573,1,353,8,70.85
1,3,173,8,40.28,0.3523,0.7436,1,179,4,35.71
2,1,170,8,59.94,0.6018,0.7921,1,299,3,65.05
3,2,185,12,69.15,0.7109,0.6383,1,194,3,73.36
4,2,253,15,76.35,0.7722,0.4543,0,81,4,71.37
2,2,63,2,47.63,0.48,0.7895,1,312,8,49.27
3,3,301,16,66.87,0.6975,0.6455,1,247,2,68.33
1,2,147,6,49.52,0.5056,0.5702,1,91,9,47.83
2,3,272,11,0.0,0.0,0.5682,0,42,0,71.95
2,3,209,12,66.03,0.6683,0.8326,0,334,7,66.39
3,3,114,6,72.37,0.6812,0.9177,1,274,6,73.4
2,3,232,13,78.04,0.7812,0.5695,1,94,5,78.11
2,1,101,6,42.87,0.4289,0.8306,1,222,5,48.27
4,3,270,14,66.36,0.5677,0.6154,0,92,9,65.67
2,3,100,7,37.03,0.4001,0.7027,1,298,4,35.0
3,1,135,7,48.93,0.5175,0.8973,1,103,7,49.54
3,1,257,13,54.24,0.4922,0.5543,1,113,1,44.77
4,1,335,25,68.27,0.7301,0.8762,1,57,7,68.98
4,3,25,2,83.66,0.8469,0.6852,1,32,10,82.98
4,2,204,10,64.98,0.6298,0.7725,0,155,9,63.89
4,2,28,2,81.52,0.7988,0.6027,1,171,1,77.15
4,3,324,21,69.62,0.6397,0.8775,1,221,8,77.96
4,1,154,6,63.35,0.593,0.8679,1,347,9,64.08
2,1,134,7,57.89,0.5911,0.514,0,335,5,46.69
1,1,332,18,45.36,0.4154,0.8045,1,206,1,52.67
3,3,330,25,60.0,0.5402,0.902,1,156,2,65.55
2,1,143,7,47.59,0.4088,0.3002,0,90,10,41.82
4,2,227,13,64.88,0.5626,0.4565,0,296,3,61.83
3,2,335,13,70.66,0.7648,0.6306,1,218,7,62.65
3,2,84,3,71.1,0.7065,0.983,1,298,4,66.39
4,1,259,12,53.13,0.5661,0.6289,1,205,9,48.49
2,2,236,9,25.49,0.2334,0.6995,1,185,8,24.97
1,3,206,13,60.79,0.5576,0.8416,1,107,9,63.22
2,2,130,8,58.46,0.6108,0.3432,0,349,3,46.91
4,3,46,2,86.6,0.8705,0.9927,1,304,5,93.27
3,2,138,6,66.28,0.6426,0.7512,1,211,2,63.73
2,2,260,16,0.0,0.0,0.4159,0,307,0,63.67
1,2,120,6,43.74,0.4012,0.6715,1,104,3,36.24
3,2,230,14,52.5,0.5363,0.8604,1,130,2,57.72
4,2,101,5,0.0,0.0,0.5748,0,332,0,75.38
3,2,315,24,67.77,0.6931,0.7476,0,253,1,68.4
3,2,209,12,65.31,0.5583,0.7771,0,320,8,62.99
2,3,114,4,42.33,0.3974,0.7437,1,238,4,44.25
3,2,348,14,52.45,0.5011,0.7024,1,46,2,46.75
1,1,174,8,43.41,0.4389,0.7224,1,195,9,40.66
4,2,110,7,0.0,0.0,0.429,0,138,0,60.43
1,1,110,6,48.32,0.477,0.5184,0,52,1,41.11
1,2,224,13,45.24,0.468,0.5632,1,279,3,43.98
3,2,268,14,69.07,0.6104,0.7696,1,312,8,65.66
4,3,247,13,61.66,0.6064,0.7408,1,126,10,67.7
3,2,158,11,0.0,0.0,0.7485,0,79,0,55.49
1,3,276,11,59.49,0.6243,0.8984,1,290,7,67.99
3,1,227,14,54.22,0.5137,0.6315,1,226,10,49.23
3,2,297,13,58.54,0.5176,0.5504,0,241,6,53.16
3,3,34,2,60.87,0.5207,0.6411,1,74,8,59.6
2,1,102,8,33.54,0.3521,0.7318,1,26,3,40.52
3,1,53,3,61.22,0.5313,0.5961,1,138,6,66.42
1,3,152,8,33.8,0.3041,0.547,1,350,7,41.56
2,2,190,13,0.0,0.0,0.7748,1,72,0,46.0
3,2,51,2,58.85,0.6434,0.5388,0,17,3,53.42
1,2,149,12,0.0,0.0,0.8454,1,362,0,61.52
1,1,105,5,30.59,0.3363,0.5299,1,340,10,24.42
2,3,274,18,53.0,0.555,0.9028,1,234,8,58.72
4,2,93,6,0.0,0.0,0.7188,1,160,0,66.17
2,3,203,12,53.55,0.5776,0.5344,1,89,7,57.65
4,2,257,21,68.14,0.6654,0.9415,1,327,10,83.28
2,2,57,2,44.36,0.4528,0.5771,1,154,8,36.0
3,2,292,14,0.0,0.0,0.5649,1,26,0,56.59
2,1,317,15,46.85,0.4753,0.8507,1,141,6,50.71
1,1,131,6,40.32,0.3791,0.9452,1,198,1,47.83
1,3,61,2,53.12,0.577,0.5486,1,128,1,43.6
2,3,345,14,56.74,0.4973,0.679,1,244,8,50.45
4,1,230,12,70.0,0.6227,0.7215,1,190,10,72.22
3,2,236,10,60.93,0.5546,0.6875,1,291,6,55.08
3,2,228,18,0.0,0.0,0.7979,1,275,0,78.46
2,2,134,5,0.0,0.0,0.9717,1,151,0,86.62
2,1,95,6,60.85,0.5552,0.6502,1,302,9,54.22
1,3,191,8,55.54,0.5697,0.5477,1,338,2,55.88
3,1,65,2,52.17,0.4888,0.7083,1,71,5,52.88
1,3,348,20,42.01,0.4164,0.8489,1,88,4,46.44
